product_name,product_price,product_ram,product_display,product_camera,product_warranty,bettary,processor
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","24,999",6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Battery,Mediatek Dimensity 1080 5G Processor
"realme 10 Pro+ 5G (Hyperspace, 128 GB)","24,999",6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Battery,Mediatek Dimensity 1080 5G Processor
"realme 10 Pro+ 5G (Dark Matter, 128 GB)","25,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Battery,Mediatek Dimensity 1080 5G Processor
"realme 10 Pro+ 5G (Dark Matter, 128 GB)","24,999",6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Battery,Mediatek Dimensity 1080 5G Processor
"realme 10 Pro+ 5G (Hyperspace, 128 GB)","25,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Battery,Mediatek Dimensity 1080 5G Processor
"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","25,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Battery,Mediatek Dimensity 1080 5G Processor
"MOTOROLA G32 (Satin Silver, 64 GB)","10,599",4 GB RAM | 64 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,1 Year on Handset and 6 Months on Accessories,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
Nokia 150 DS 2020,"2,499",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,1020 mAh Lithium-ion Battery,MediaTek Processor
Micromax J22,"1,164",32 MB RAM | 32 MB ROM,6.1 cm (2.4 inch) Display,1000 mAh Battery,,1 Year Manufacturer warranty,
"vivo T1 44W (Midnight Galaxy, 128 GB)","17,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.36 cm (6.44 inch) Full HD+ AMOLED Display,50MP + 2MP + 2MP | 16MP Front Camera,1 Year Handset and 6 Months Accessories,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor
"MOTOROLA e13 (Aurora Green, 64 GB)","6,999",2 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,1 Year on Handset and 6 Months on Accessories,5000 mAh Battery,Unisoc T606 Processor
"Micromax IN 2C (Silver, 32 GB)","5,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Battery,Unisoc T610 Processor
Micromax J22,"1,179",32 MB RAM | 32 MB ROM,6.1 cm (2.4 inch) Display,1000 mAh Battery,,1 Year Manufacturer warranty,
"Infinix NOTE 12i (Alpine White, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50 MP + 2 MP + QVGA | 8MP Front Camera,1 Year on Handset and 6 Months on Accessories,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G85 Processor
Micromax X412,934,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,800 mAh Battery,,12 Month,
"Micromax IN 2C (Brown, 32 GB)","5,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Battery,Unisoc T610 Processor
"vivo V27 5G (Magic Blue, 128 GB)","32,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 Inch) Full HD+ AMOLED Display,50MP (OIS) + 8MP + 2MP | 50MP Front Camera,1 Year Brand Warranty,4600 mAh Battery,Mediatek Dimensity 7200 5G Processor
"MOTOROLA e32 (Arctic Blue, 64 GB)","8,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,1 Year on Handset and 6 Months on Accessories,5000 mAh Battery,Mediatek Helio G37 Processor
"REDMI A1+ (Black, 32 GB)","6,999",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.56 cm (6.52 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor
SAMSUNG Guru Music 2,"2,098",NA ROM | Expandable Upto 16 GB,5.08 cm (2 inch) QVGA Display,0MP Front Camera,1 Year Manufacturer Warranty,800 mAh Battery,NA 0 Single Core 208MHz Processor
"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","24,999",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD Display,50MP (OIS) + 8MP + 2MP | 16MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,5000 mAh Lithium Polymer Battery,Mediatek Dimensity 1080 Processor
itel MagicX Pro (4G Hotspot),"2,649",64 MB RAM | 128 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,,2500 mAh Battery,2 years warranty on mobile device & 6 months on accessories.
"realme 9i 5G (Rocking Black, 64 GB)","14,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
"realme 9i 5G (Soulful Blue, 128 GB)","16,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
"realme 9i 5G (Metallica Gold, 64 GB)","14,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
"realme 9i 5G (Rocking Black, 128 GB)","16,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 8MP Front Camera,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
